




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-04-04
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
GO biological process complete	Homo sapiens - REFLIST (21042)	upload_1 (319)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment (GO:1901296)	1	0	.02	-	 < 0.01	1.00E00	2.52E00
positive regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment (GO:1901297)	1	0	.02	-	 < 0.01	1.00E00	2.52E00
pre-mRNA catabolic process (GO:1990261)	1	0	.02	-	 < 0.01	1.00E00	2.52E00
anti-Mullerian hormone signaling pathway (GO:1990262)	1	0	.02	-	 < 0.01	1.00E00	2.52E00
response to gold nanoparticle (GO:1990268)	1	0	.02	-	 < 0.01	1.00E00	2.52E00
regulation of proteolysis (GO:0030162)	813	14	12.33	+	1.14	5.60E-01	2.52E00
negative regulation of lysosome organization (GO:1905672)	1	0	.02	-	 < 0.01	1.00E00	2.52E00
regulation of stress-activated MAPK cascade (GO:0032872)	206	4	3.12	+	1.28	5.60E-01	2.52E00
RNA localization to chromatin (GO:1990280)	1	0	.02	-	 < 0.01	1.00E00	2.52E00
synapse disassembly (GO:0098883)	1	0	.02	-	 < 0.01	1.00E00	2.52E00
modification of postsynaptic actin cytoskeleton (GO:0098885)	1	0	.02	-	 < 0.01	1.00E00	2.52E00
regulation of diacylglycerol kinase activity (GO:1905687)	1	0	.02	-	 < 0.01	1.00E00	2.52E00
positive regulation of diacylglycerol kinase activity (GO:1905689)	1	0	.02	-	 < 0.01	1.00E00	2.52E00
tRNA acetylation (GO:0051391)	1	0	.02	-	 < 0.01	1.00E00	2.52E00
regulation of nerve growth factor receptor activity (GO:0051394)	1	0	.02	-	 < 0.01	1.00E00	2.52E00
regulation of phosphatidic acid biosynthetic process (GO:1905693)	1	0	.02	-	 < 0.01	1.00E00	2.52E00
positive regulation of phosphatidic acid biosynthetic process (GO:1905695)	1	0	.02	-	 < 0.01	1.00E00	2.52E00
negative regulation of Wnt signaling pathway (GO:0030178)	207	4	3.14	+	1.27	5.61E-01	2.52E00
positive regulation of polysome binding (GO:1905698)	1	0	.02	-	 < 0.01	1.00E00	2.52E00
telomere formation via telomerase (GO:0032203)	1	0	.02	-	 < 0.01	1.00E00	2.52E00
regulation of stress-activated protein kinase signaling cascade (GO:0070302)	207	4	3.14	+	1.27	5.61E-01	2.52E00
regulation of telomere maintenance via recombination (GO:0032207)	1	0	.02	-	 < 0.01	1.00E00	2.52E00
negative regulation of telomere maintenance via recombination (GO:0032208)	1	0	.02	-	 < 0.01	1.00E00	2.52E00
negative regulation of synaptic transmission, cholinergic (GO:0032223)	1	0	.02	-	 < 0.01	1.00E00	2.53E00
positive regulation of vesicle docking (GO:0106022)	1	0	.02	-	 < 0.01	1.00E00	2.53E00
regulation of nucleoside transport (GO:0032242)	1	0	.02	-	 < 0.01	1.00E00	2.53E00
positive regulation of nucleoside transport (GO:0032244)	1	0	.02	-	 < 0.01	1.00E00	2.53E00
negative regulation of membrane depolarization during cardiac muscle cell action potential (GO:1900826)	1	0	.02	-	 < 0.01	1.00E00	2.53E00
positive regulation of membrane depolarization during cardiac muscle cell action potential (GO:1900827)	1	0	.02	-	 < 0.01	1.00E00	2.53E00
dense core granule localization (GO:0032253)	1	0	.02	-	 < 0.01	1.00E00	2.53E00
guanine deglycation (GO:0106044)	1	0	.02	-	 < 0.01	1.00E00	2.53E00
guanine deglycation, methylglyoxal removal (GO:0106045)	1	0	.02	-	 < 0.01	1.00E00	2.53E00
response to gamma radiation (GO:0010332)	54	1	.82	+	1.22	5.63E-01	2.53E00
guanine deglycation, glyoxal removal (GO:0106046)	1	0	.02	-	 < 0.01	1.00E00	2.53E00
negative regulation of exit from mitosis (GO:0001100)	1	0	.02	-	 < 0.01	1.00E00	2.53E00
axo-dendritic transport (GO:0008088)	54	1	.82	+	1.22	5.63E-01	2.53E00
regulation of cobalamin metabolic process (GO:0106064)	1	0	.02	-	 < 0.01	1.00E00	2.53E00
visual perception (GO:0007601)	209	4	3.17	+	1.26	5.64E-01	2.53E00
intestinal lipid catabolic process (GO:0044258)	1	0	.02	-	 < 0.01	1.00E00	2.53E00
ammonium transport (GO:0015696)	54	1	.82	+	1.22	5.63E-01	2.53E00
DNA-templated transcriptional open complex formation (GO:0001112)	1	0	.02	-	 < 0.01	1.00E00	2.53E00
positive regulation of blood vessel endothelial cell migration (GO:0043536)	54	1	.82	+	1.22	5.63E-01	2.53E00
transcriptional open complex formation at RNA polymerase II promoter (GO:0001113)	1	0	.02	-	 < 0.01	1.00E00	2.53E00
embryonic ectodermal digestive tract morphogenesis (GO:0048613)	1	0	.02	-	 < 0.01	1.00E00	2.53E00
regulation of lipid kinase activity (GO:0043550)	54	1	.82	+	1.22	5.63E-01	2.53E00
positive regulation of negative chemotaxis (GO:0050924)	1	0	.02	-	 < 0.01	1.00E00	2.53E00
negative regulation of positive chemotaxis (GO:0050928)	1	0	.02	-	 < 0.01	1.00E00	2.53E00
regulation of cell-substrate junction assembly (GO:0090109)	54	1	.82	+	1.22	5.63E-01	2.53E00
induction of negative chemotaxis (GO:0050929)	1	0	.02	-	 < 0.01	1.00E00	2.53E00
protein-DNA complex remodeling (GO:0001120)	1	0	.02	-	 < 0.01	1.00E00	2.53E00
regulation of focal adhesion assembly (GO:0051893)	54	1	.82	+	1.22	5.63E-01	2.53E00
post-embryonic digestive tract morphogenesis (GO:0048621)	1	0	.02	-	 < 0.01	1.00E00	2.53E00
regulation of cell adhesion involved in sprouting angiogenesis (GO:0106088)	1	0	.02	-	 < 0.01	1.00E00	2.53E00
negative regulation of cell adhesion involved in sprouting angiogenesis (GO:0106089)	1	0	.02	-	 < 0.01	1.00E00	2.53E00
regulation of histone H4-K20 methylation (GO:0070510)	1	0	.02	-	 < 0.01	1.00E00	2.53E00
positive regulation of histone H4-K20 methylation (GO:0070512)	1	0	.02	-	 < 0.01	1.00E00	2.54E00
pancreatic epsilon cell differentiation (GO:0090104)	1	0	.02	-	 < 0.01	1.00E00	2.54E00
positive regulation of high-density lipoprotein particle assembly (GO:0090108)	1	0	.02	-	 < 0.01	1.00E00	2.54E00
regulation of ER to Golgi vesicle-mediated transport by GTP hydrolysis (GO:0090113)	1	0	.02	-	 < 0.01	1.00E00	2.54E00
detection of temperature stimulus involved in thermoception (GO:0050960)	1	0	.02	-	 < 0.01	1.00E00	2.54E00
protein-containing complex assembly involved in synapse maturation (GO:0090126)	1	0	.02	-	 < 0.01	1.00E00	2.54E00
detection of mechanical stimulus involved in equilibrioception (GO:0050973)	1	0	.02	-	 < 0.01	1.00E00	2.54E00
rDNA condensation (GO:0070550)	1	0	.02	-	 < 0.01	1.00E00	2.54E00
reverse transcription (GO:0001171)	1	0	.02	-	 < 0.01	1.00E00	2.54E00
DNA-templated transcriptional start site selection (GO:0001173)	1	0	.02	-	 < 0.01	1.00E00	2.54E00
transcriptional start site selection at RNA polymerase II promoter (GO:0001174)	1	0	.02	-	 < 0.01	1.00E00	2.54E00
regulation of actin cytoskeleton organization by cell-cell adhesion (GO:0090138)	1	0	.02	-	 < 0.01	1.00E00	2.54E00
axon extension involved in regeneration (GO:0048677)	1	0	.02	-	 < 0.01	1.00E00	2.54E00
sprouting of injured axon (GO:0048682)	1	0	.02	-	 < 0.01	1.00E00	2.54E00
regulation of collateral sprouting of intact axon in response to injury (GO:0048683)	1	0	.02	-	 < 0.01	1.00E00	2.54E00
negative regulation of collateral sprouting of intact axon in response to injury (GO:0048685)	1	0	.02	-	 < 0.01	1.00E00	2.54E00
negative regulation of cargo loading into COPII-coated vesicle (GO:1901303)	1	0	.02	-	 < 0.01	1.00E00	2.54E00
regulation of spermidine biosynthetic process (GO:1901304)	1	0	.02	-	 < 0.01	1.00E00	2.54E00
positive regulation of spermidine biosynthetic process (GO:1901307)	1	0	.02	-	 < 0.01	1.00E00	2.54E00
positive regulation of axon extension involved in regeneration (GO:0048691)	1	0	.02	-	 < 0.01	1.00E00	2.54E00
maintenance of transcriptional fidelity during DNA-templated transcription elongation (GO:0001192)	1	0	.02	-	 < 0.01	1.00E00	2.54E00
negative regulation of axon extension involved in regeneration (GO:0048692)	1	0	.02	-	 < 0.01	1.00E00	2.54E00
maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase II promoter (GO:0001193)	1	0	.02	-	 < 0.01	1.00E00	2.54E00
regulation of collateral sprouting of injured axon (GO:0048693)	1	0	.02	-	 < 0.01	1.00E00	2.54E00
positive regulation of collateral sprouting of injured axon (GO:0048694)	1	0	.02	-	 < 0.01	1.00E00	2.55E00
negative regulation of collateral sprouting in absence of injury (GO:0048698)	1	0	.02	-	 < 0.01	1.00E00	2.55E00
cell-cell adhesion involved in gastrulation (GO:0070586)	1	0	.02	-	 < 0.01	1.00E00	2.55E00
cellular component macromolecule biosynthetic process (GO:0070589)	1	0	.02	-	 < 0.01	1.00E00	2.55E00
negative regulation of heart induction (GO:1901320)	1	0	.02	-	 < 0.01	1.00E00	2.55E00
response to cytochalasin B (GO:1901328)	1	0	.02	-	 < 0.01	1.00E00	2.55E00
chondrocyte morphogenesis (GO:0090171)	1	0	.02	-	 < 0.01	1.00E00	2.55E00
microtubule cytoskeleton organization involved in homologous chromosome segregation (GO:0090172)	1	0	.02	-	 < 0.01	1.00E00	2.55E00
regulation of cell development (GO:0060284)	862	15	13.07	+	1.15	5.68E-01	2.55E00
positive regulation of odontoblast differentiation (GO:1901331)	1	0	.02	-	 < 0.01	1.00E00	2.55E00
sensory perception of light stimulus (GO:0050953)	212	4	3.21	+	1.24	5.68E-01	2.55E00
thioester transport (GO:1901337)	1	0	.02	-	 < 0.01	1.00E00	2.55E00
regulation of GTPase activity (GO:0043087)	486	5	7.37	-	.68	5.69E-01	2.55E00
negative regulation of store-operated calcium channel activity (GO:1901340)	1	0	.02	-	 < 0.01	1.00E00	2.55E00
regulation of Purkinje myocyte action potential (GO:0098906)	1	0	.02	-	 < 0.01	1.00E00	2.55E00
negative regulation of chemokine secretion (GO:0090198)	1	0	.02	-	 < 0.01	1.00E00	2.55E00
cell-cell signaling involved in cell-cell junction organization (GO:1901350)	1	0	.02	-	 < 0.01	1.00E00	2.55E00
negative regulation of cell-substrate adhesion (GO:0010812)	55	1	.83	+	1.20	5.70E-01	2.55E00
response to cortisone (GO:0051413)	1	0	.02	-	 < 0.01	1.00E00	2.55E00
microtubule nucleation by spindle pole body (GO:0051417)	1	0	.02	-	 < 0.01	1.00E00	2.55E00
intracellular transport of virus (GO:0075733)	55	1	.83	+	1.20	5.70E-01	2.55E00
radial pattern formation (GO:0009956)	1	0	.02	-	 < 0.01	1.00E00	2.55E00
response to phosphatidylethanolamine (GO:1905711)	1	0	.02	-	 < 0.01	1.00E00	2.55E00
positive regulation of gliogenesis (GO:0014015)	55	1	.83	+	1.20	5.70E-01	2.55E00
regulation of cornification (GO:1905715)	1	0	.02	-	 < 0.01	1.00E00	2.55E00
circadian regulation of gene expression (GO:0032922)	55	1	.83	+	1.20	5.70E-01	2.55E00
negative regulation of cornification (GO:1905716)	1	0	.02	-	 < 0.01	1.00E00	2.55E00
retrograde trans-synaptic signaling by soluble gas (GO:0098923)	1	0	.02	-	 < 0.01	1.00E00	2.55E00
negative regulation of cytokine-mediated signaling pathway (GO:0001960)	55	1	.83	+	1.20	5.70E-01	2.55E00
retrograde trans-synaptic signaling by nitric oxide (GO:0098924)	1	0	.02	-	 < 0.01	1.00E00	2.55E00
postsynaptic signal transduction (GO:0098926)	1	0	.02	-	 < 0.01	1.00E00	2.55E00
homotypic cell-cell adhesion (GO:0034109)	55	1	.83	+	1.20	5.70E-01	2.55E00
lipid hydroperoxide transport (GO:1901373)	1	0	.02	-	 < 0.01	1.00E00	2.55E00
organic heteropentacyclic compound catabolic process (GO:1901377)	1	0	.02	-	 < 0.01	1.00E00	2.56E00
response to mechanical stimulus (GO:0009612)	214	4	3.24	+	1.23	5.71E-01	2.56E00
dendritic transport of mitochondrion (GO:0098939)	1	0	.02	-	 < 0.01	1.00E00	2.56E00
retrograde trans-synaptic signaling by trans-synaptic protein complex (GO:0098942)	1	0	.02	-	 < 0.01	1.00E00	2.56E00
gap junction-mediated intercellular transport (GO:1990349)	1	0	.02	-	 < 0.01	1.00E00	2.56E00
regulation of transforming growth factor beta activation (GO:1901388)	1	0	.02	-	 < 0.01	1.00E00	2.56E00
negative regulation of transforming growth factor beta activation (GO:1901389)	1	0	.02	-	 < 0.01	1.00E00	2.56E00
cytoplasmic RNA surveillance (GO:0071026)	1	0	.02	-	 < 0.01	1.00E00	2.56E00
attachment of spindle microtubules to kinetochore involved in homologous chromosome segregation (GO:0051455)	1	0	.02	-	 < 0.01	1.00E00	2.56E00
attachment of spindle microtubules to kinetochore involved in meiotic sister chromatid segregation (GO:0051456)	1	0	.02	-	 < 0.01	1.00E00	2.56E00
corticotropin secretion (GO:0051458)	1	0	.02	-	 < 0.01	1.00E00	2.56E00
negative regulation of cardioblast cell fate specification (GO:0009997)	1	0	.02	-	 < 0.01	1.00E00	2.56E00
dendritic transport of ribonucleoprotein complex (GO:0098961)	1	0	.02	-	 < 0.01	1.00E00	2.56E00
regulation of postsynaptic neurotransmitter receptor activity (GO:0098962)	1	0	.02	-	 < 0.01	1.00E00	2.56E00
negative regulation of cortisol secretion (GO:0051463)	1	0	.02	-	 < 0.01	1.00E00	2.56E00
dendritic transport of messenger ribonucleoprotein complex (GO:0098963)	1	0	.02	-	 < 0.01	1.00E00	2.56E00
membrane lipid metabolic process (GO:0006643)	215	4	3.26	+	1.23	5.73E-01	2.56E00
anterograde dendritic transport of messenger ribonucleoprotein complex (GO:0098964)	1	0	.02	-	 < 0.01	1.00E00	2.56E00
neurotransmitter receptor transport postsynaptic membrane to endosome (GO:0098968)	1	0	.02	-	 < 0.01	1.00E00	2.56E00
nucleotide-excision repair, DNA damage removal (GO:0000718)	1	0	.02	-	 < 0.01	1.00E00	2.56E00
nuclear histone mRNA catabolic process (GO:0071045)	1	0	.02	-	 < 0.01	1.00E00	2.56E00
regulation of double-stranded telomeric DNA binding (GO:1905767)	1	0	.02	-	 < 0.01	1.00E00	2.56E00
negative regulation of double-stranded telomeric DNA binding (GO:1905768)	1	0	.02	-	 < 0.01	1.00E00	2.56E00
anterograde dendritic transport of mitochondrion (GO:0098972)	1	0	.02	-	 < 0.01	1.00E00	2.56E00
postsynaptic actin cytoskeleton organization (GO:0098974)	1	0	.02	-	 < 0.01	1.00E00	2.56E00
lipid transport across blood brain barrier (GO:1990379)	1	0	.02	-	 < 0.01	1.00E00	2.56E00
positive regulation of mesodermal cell differentiation (GO:1905772)	1	0	.02	-	 < 0.01	1.00E00	2.57E00
negative regulation of DNA helicase activity (GO:1905775)	1	0	.02	-	 < 0.01	1.00E00	2.57E00
positive regulation of DNA helicase activity (GO:1905776)	1	0	.02	-	 < 0.01	1.00E00	2.57E00
positive regulation of exonuclease activity (GO:1905779)	1	0	.02	-	 < 0.01	1.00E00	2.57E00
regulation of muscle system process (GO:0090257)	216	4	3.27	+	1.22	5.74E-01	2.57E00
hyaloid vascular plexus regression (GO:1990384)	1	0	.02	-	 < 0.01	1.00E00	2.57E00
regulation of cell cycle G2/M phase transition (GO:1902749)	216	4	3.27	+	1.22	5.74E-01	2.57E00
cell wall chitin metabolic process (GO:0006037)	1	0	.02	-	 < 0.01	1.00E00	2.57E00
N-terminal peptidyl-L-cysteine N-palmitoylation (GO:0018009)	1	0	.02	-	 < 0.01	1.00E00	2.57E00
protein K33-linked ubiquitination (GO:1990390)	1	0	.02	-	 < 0.01	1.00E00	2.57E00
karyogamy (GO:0000741)	1	0	.02	-	 < 0.01	1.00E00	2.57E00
UDP-N-acetylglucosamine catabolic process (GO:0006049)	1	0	.02	-	 < 0.01	1.00E00	2.57E00
N-terminal peptidyl-alanine methylation (GO:0018011)	1	0	.02	-	 < 0.01	1.00E00	2.57E00
N-terminal peptidyl-alanine trimethylation (GO:0018012)	1	0	.02	-	 < 0.01	1.00E00	2.57E00
response to puromycin (GO:1905794)	1	0	.02	-	 < 0.01	1.00E00	2.57E00
N-terminal peptidyl-glycine methylation (GO:0018013)	1	0	.02	-	 < 0.01	1.00E00	2.57E00
cellular response to puromycin (GO:1905795)	1	0	.02	-	 < 0.01	1.00E00	2.57E00
N-terminal peptidyl-proline dimethylation (GO:0018016)	1	0	.02	-	 < 0.01	1.00E00	2.57E00
regulation of intraciliary retrograde transport (GO:1905799)	1	0	.02	-	 < 0.01	1.00E00	2.57E00
CMP-N-acetylneuraminate biosynthetic process (GO:0006055)	1	0	.02	-	 < 0.01	1.00E00	2.57E00
mannoprotein metabolic process (GO:0006056)	1	0	.02	-	 < 0.01	1.00E00	2.57E00
mannoprotein biosynthetic process (GO:0006057)	1	0	.02	-	 < 0.01	1.00E00	2.57E00
sorbitol biosynthetic process (GO:0006061)	1	0	.02	-	 < 0.01	1.00E00	2.57E00
sorbitol catabolic process (GO:0006062)	1	0	.02	-	 < 0.01	1.00E00	2.57E00
negative regulation of prostaglandin secretion (GO:0032307)	1	0	.02	-	 < 0.01	1.00E00	2.57E00
protein amidation (GO:0018032)	1	0	.02	-	 < 0.01	1.00E00	2.57E00
alpha-beta T cell activation (GO:0046631)	56	1	.85	+	1.18	5.76E-01	2.58E00
ER-dependent peroxisome localization (GO:0106101)	1	0	.02	-	 < 0.01	1.00E00	2.58E00
positive regulation of DNA damage checkpoint (GO:2000003)	1	0	.02	-	 < 0.01	1.00E00	2.58E00
positive regulation of lipid transport (GO:0032370)	56	1	.85	+	1.18	5.76E-01	2.58E00
regulation of metanephric S-shaped body morphogenesis (GO:2000004)	1	0	.02	-	 < 0.01	1.00E00	2.58E00
negative regulation of metanephric S-shaped body morphogenesis (GO:2000005)	1	0	.02	-	 < 0.01	1.00E00	2.58E00
regulation of metanephric comma-shaped body morphogenesis (GO:2000006)	1	0	.02	-	 < 0.01	1.00E00	2.58E00
negative regulation of metanephric comma-shaped body morphogenesis (GO:2000007)	1	0	.02	-	 < 0.01	1.00E00	2.58E00
cytochrome c-heme linkage (GO:0018063)	1	0	.02	-	 < 0.01	1.00E00	2.58E00
regulation of adaxial/abaxial pattern formation (GO:2000011)	1	0	.02	-	 < 0.01	1.00E00	2.58E00
negative regulation of male gonad development (GO:2000019)	1	0	.02	-	 < 0.01	1.00E00	2.58E00
canonical Wnt signaling pathway involved in positive regulation of endothelial cell migration (GO:0044328)	1	0	.02	-	 < 0.01	1.00E00	2.58E00
canonical Wnt signaling pathway involved in positive regulation of cell-cell adhesion (GO:0044329)	1	0	.02	-	 < 0.01	1.00E00	2.58E00
pyridoxal phosphate catabolic process (GO:0032361)	1	0	.02	-	 < 0.01	1.00E00	2.58E00
negative regulation of cardiac cell fate specification (GO:2000044)	1	0	.02	-	 < 0.01	1.00E00	2.58E00
negative regulation of intracellular lipid transport (GO:0032378)	1	0	.02	-	 < 0.01	1.00E00	2.58E00
stromal-epithelial cell signaling involved in prostate gland development (GO:0044345)	1	0	.02	-	 < 0.01	1.00E00	2.58E00
DNA excision (GO:0044349)	1	0	.02	-	 < 0.01	1.00E00	2.58E00
histone displacement (GO:0001207)	1	0	.02	-	 < 0.01	1.00E00	2.58E00
positive regulation of Wnt signaling pathway involved in dorsal/ventral axis specification (GO:2000055)	1	0	.02	-	 < 0.01	1.00E00	2.58E00
regulation of Wnt signaling pathway involved in digestive tract morphogenesis (GO:2000056)	1	0	.02	-	 < 0.01	1.00E00	2.58E00
negative regulation of Wnt signaling pathway involved in digestive tract morphogenesis (GO:2000057)	1	0	.02	-	 < 0.01	1.00E00	2.58E00
negative regulation of intracellular sterol transport (GO:0032381)	1	0	.02	-	 < 0.01	1.00E00	2.58E00
cell recognition (GO:0008037)	219	4	3.32	+	1.20	5.79E-01	2.58E00
negative regulation of intracellular cholesterol transport (GO:0032384)	1	0	.02	-	 < 0.01	1.00E00	2.58E00
clearance of foreign intracellular DNA (GO:0044355)	1	0	.02	-	 < 0.01	1.00E00	2.58E00
developmental maturation (GO:0021700)	219	4	3.32	+	1.20	5.79E-01	2.58E00
clearance of foreign intracellular DNA by conversion of DNA cytidine to uridine (GO:0044356)	1	0	.02	-	 < 0.01	1.00E00	2.59E00
regulation of ureter smooth muscle cell differentiation (GO:2000061)	1	0	.02	-	 < 0.01	1.00E00	2.59E00
negative regulation of ureter smooth muscle cell differentiation (GO:2000062)	1	0	.02	-	 < 0.01	1.00E00	2.59E00
positive regulation of ureter smooth muscle cell differentiation (GO:2000063)	1	0	.02	-	 < 0.01	1.00E00	2.59E00
positive regulation of cortisol biosynthetic process (GO:2000066)	1	0	.02	-	 < 0.01	1.00E00	2.59E00
regulation of root morphogenesis (GO:2000067)	1	0	.02	-	 < 0.01	1.00E00	2.59E00
cellular detoxification of methylglyoxal (GO:0140041)	1	0	.02	-	 < 0.01	1.00E00	2.59E00
regulation of catabolic process (GO:0009894)	920	16	13.95	+	1.15	5.80E-01	2.59E00
negative regulation of canonical Wnt signaling pathway involved in controlling type B pancreatic cell proliferation (GO:2000080)	1	0	.02	-	 < 0.01	1.00E00	2.59E00
positive regulation of canonical Wnt signaling pathway involved in controlling type B pancreatic cell proliferation (GO:2000081)	1	0	.02	-	 < 0.01	1.00E00	2.59E00
zymogen granule exocytosis (GO:0070625)	1	0	.02	-	 < 0.01	1.00E00	2.59E00
ferrous iron import (GO:0070627)	1	0	.02	-	 < 0.01	1.00E00	2.59E00
spindle pole body localization (GO:0070631)	1	0	.02	-	 < 0.01	1.00E00	2.59E00
establishment of spindle pole body localization (GO:0070632)	1	0	.02	-	 < 0.01	1.00E00	2.59E00
pyridine nucleoside metabolic process (GO:0070637)	1	0	.02	-	 < 0.01	1.00E00	2.59E00
pyridine nucleoside catabolic process (GO:0070638)	1	0	.02	-	 < 0.01	1.00E00	2.59E00
peptidyl-lysine crotonylation (GO:0140066)	1	0	.02	-	 < 0.01	1.00E00	2.59E00
peptidyl-lysine butyrylation (GO:0140067)	1	0	.02	-	 < 0.01	1.00E00	2.59E00
transport (GO:0006810)	4446	63	67.40	-	.93	5.81E-01	2.59E00
regulation of microtubule nucleation by Ran protein signal transduction (GO:0090226)	1	0	.02	-	 < 0.01	1.00E00	2.59E00
cardiac endothelial to mesenchymal transition (GO:0140074)	1	0	.02	-	 < 0.01	1.00E00	2.59E00
actin filament bundle distribution (GO:0070650)	1	0	.02	-	 < 0.01	1.00E00	2.59E00
nonfunctional rRNA decay (GO:0070651)	1	0	.02	-	 < 0.01	1.00E00	2.59E00
regulation of adherens junction organization (GO:1903391)	57	1	.86	+	1.16	5.83E-01	2.59E00
negative regulation of spindle checkpoint (GO:0090233)	1	0	.02	-	 < 0.01	1.00E00	2.59E00
peptide hormone secretion (GO:0030072)	57	1	.86	+	1.16	5.83E-01	2.59E00
mast cell proliferation (GO:0070662)	1	0	.02	-	 < 0.01	1.00E00	2.59E00
regulation of mast cell proliferation (GO:0070666)	1	0	.02	-	 < 0.01	1.00E00	2.60E00
positive regulation of striated muscle cell differentiation (GO:0051155)	57	1	.86	+	1.16	5.83E-01	2.60E00
negative regulation of mast cell proliferation (GO:0070667)	1	0	.02	-	 < 0.01	1.00E00	2.60E00
positive regulation of mast cell proliferation (GO:0070668)	1	0	.02	-	 < 0.01	1.00E00	2.60E00
positive regulation of actin filament bundle assembly (GO:0032233)	57	1	.86	+	1.16	5.83E-01	2.60E00
retinoic acid receptor signaling pathway involved in somitogenesis (GO:0090242)	1	0	.02	-	 < 0.01	1.00E00	2.60E00
convergent extension involved in somitogenesis (GO:0090246)	1	0	.02	-	 < 0.01	1.00E00	2.60E00
regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902041)	57	1	.86	+	1.16	5.83E-01	2.60E00
chemotaxis (GO:0006935)	513	9	7.78	+	1.16	5.84E-01	2.60E00
cytoskeletal matrix organization at active zone (GO:0048789)	1	0	.02	-	 < 0.01	1.00E00	2.60E00
positive regulation of reproductive process (GO:2000243)	57	1	.86	+	1.16	5.83E-01	2.60E00
regulation of tetrapyrrole metabolic process (GO:1901401)	1	0	.02	-	 < 0.01	1.00E00	2.60E00
protein localization involved in establishment of planar polarity (GO:0090251)	1	0	.02	-	 < 0.01	1.00E00	2.60E00
cellular response to glucocorticoid stimulus (GO:0071385)	57	1	.86	+	1.16	5.83E-01	2.60E00
maintenance of presynaptic active zone structure (GO:0048790)	1	0	.02	-	 < 0.01	1.00E00	2.60E00
spontaneous exocytosis of neurotransmitter (GO:0048792)	1	0	.02	-	 < 0.01	1.00E00	2.60E00
regulation of peptidyl-lysine acetylation (GO:2000756)	57	1	.86	+	1.16	5.83E-01	2.60E00
taxis (GO:0042330)	514	9	7.79	+	1.15	5.84E-01	2.60E00
seminal clot liquefaction (GO:0070684)	1	0	.02	-	 < 0.01	1.00E00	2.60E00
regulation of heart growth (GO:0060420)	57	1	.86	+	1.16	5.83E-01	2.60E00
regulation of response to alcohol (GO:1901419)	1	0	.02	-	 < 0.01	1.00E00	2.60E00
positive regulation of immune complex clearance by monocytes and macrophages (GO:0090265)	1	0	.02	-	 < 0.01	1.00E00	2.60E00
positive regulation of response to alcohol (GO:1901421)	1	0	.02	-	 < 0.01	1.00E00	2.60E00
positive regulation of transcription involved in G2/M transition of mitotic cell cycle (GO:0090282)	1	0	.02	-	 < 0.01	1.00E00	2.60E00
positive regulation of protein glycosylation in Golgi (GO:0090284)	1	0	.02	-	 < 0.01	1.00E00	2.60E00
embryonic lung development (GO:1990401)	1	0	.02	-	 < 0.01	1.00E00	2.60E00
embryonic liver development (GO:1990402)	1	0	.02	-	 < 0.01	1.00E00	2.60E00
regulation of cellular response to manganese ion (GO:1905802)	1	0	.02	-	 < 0.01	1.00E00	2.60E00
nitrogen catabolite regulation of transcription (GO:0090293)	1	0	.02	-	 < 0.01	1.00E00	2.60E00
nitrogen catabolite activation of transcription (GO:0090294)	1	0	.02	-	 < 0.01	1.00E00	2.60E00
positive regulation of cytokine biosynthetic process (GO:0042108)	58	1	.88	+	1.14	5.89E-01	2.60E00
mitochondria-nucleus signaling pathway (GO:0031930)	1	0	.02	-	 < 0.01	1.00E00	2.60E00
positive regulation of mitochondrial DNA replication (GO:0090297)	1	0	.02	-	 < 0.01	1.00E00	2.60E00
protein localization to chromosome (GO:0034502)	58	1	.88	+	1.14	5.89E-01	2.60E00
regulation of neural crest formation (GO:0090299)	1	0	.02	-	 < 0.01	1.00E00	2.61E00
proteoglycan biosynthetic process (GO:0030166)	58	1	.88	+	1.14	5.89E-01	2.61E00
positive regulation of chromatin silencing at telomere (GO:0031940)	1	0	.02	-	 < 0.01	1.00E00	2.61E00
positive regulation of glucocorticoid metabolic process (GO:0031945)	1	0	.02	-	 < 0.01	1.00E00	2.61E00
negative regulation of T cell proliferation (GO:0042130)	58	1	.88	+	1.14	5.89E-01	2.61E00
positive regulation of glucocorticoid biosynthetic process (GO:0031948)	1	0	.02	-	 < 0.01	1.00E00	2.61E00
histone biotinylation (GO:0071110)	1	0	.02	-	 < 0.01	1.00E00	2.61E00
transport of virus (GO:0046794)	58	1	.88	+	1.14	5.89E-01	2.61E00
intrinsic apoptotic signaling pathway in response to nitrosative stress (GO:1990442)	1	0	.02	-	 < 0.01	1.00E00	2.61E00
keratinization (GO:0031424)	226	4	3.43	+	1.17	5.90E-01	2.61E00
regulation of neurotransmitter secretion (GO:0046928)	58	1	.88	+	1.14	5.89E-01	2.61E00
elastin biosynthetic process (GO:0051542)	1	0	.02	-	 < 0.01	1.00E00	2.61E00
